Occupation (SOC code),Employment(1),Hourly mean wage,Annual mean wage(2)
Accountants and Auditors(132011),     1318550,       40.37,       83980
Property Appraisers and Assessors(132020),       58340,       33.68,       70050
Budget Analysts(132031),       47440,       40.50,       84240
Credit Analysts(132041),       68770,       42.32,       88030
Financial Analysts and Advisors(132050),      716930,       51.13,      106340
Financial and Investment Analysts(132051),      291880,       49.53,      103020
Personal Financial Advisors(132052),      263030,       57.67,      119960
Insurance Underwriters(132053),      107690,       38.43,       79940
Financial Risk Specialists(132054),       54320,       53.18,      110610
Financial Examiners(132061),       60750,       46.24,       96180
Credit Counselors and Loan Officers(132070),      371400,       37.52,       78040
Credit Counselors(132071),       31230,       24.25,       50430
Loan Officers(132072),      340170,       38.74,       80570
"Tax Examiners, Collectors and Preparers, and Revenue Agents(132080)",      135460,       26.80,       55750
"Tax Examiners and Collectors, and Revenue Agents(132081)",       52270,       30.38,       63200
Tax Preparers(132082),       83190,       24.56,       51080
"Financial Specialists, All Other(132099)",      123200,       38.64,       80370
Computer and Mathematical Occupations(150000),     4654750,       48.01,       99860
Computer Occupations(151200),     4389910,       47.89,       99620
Computer and Information Analysts(151210),      662370,       50.40,      104840
Computer Systems Analysts(151211),      505150,       49.14,      102210
Information Security Analysts(151212),      157220,       54.46,      113270
Computer and Information Research Scientists(151221),       30840,       68.58,      142650
Computer Support Specialists(151230),      830510,       29.11,       60550
Computer Network Support Specialists(151231),      176200,       34.30,       71350
Computer User Support Specialists(151232),      654310,       27.72,       57650
Database and Network Administrators and Architects(151240),      621900,       49.25,      102440
Computer Network Architects(151241),      168830,       58.01,      120650
Database Administrators(151242),       85870,       46.42,       96550
Database Architects(151243),       50440,       58.58,      121840
Network and Computer Systems Administrators(151244),      316760,       43.87,       91250
"Software and Web Developers, Programmers, and Testers(151250)",     1874100,       54.68,      113720
Computer Programmers(151251),      152610,       46.46,       96650
Software Developers(151252),     1364180,       58.17,      120990
Software Quality Assurance Analysts and Testers(151253),      190120,       46.97,       97710
Web Developers(151254),       84820,       39.09,       81320
Web and Digital Interface Designers(151255),       82380,       45.90,       95460
"Computer Occupations, All Other(151299)",      370190,       47.20,       98180
Mathematical Science Occupations(152000),      264840,       49.90,      103800
Actuaries(152011),       23040,       60.24,      125300
Mathematicians(152021),        1770,       54.05,      112430
Operations Research Analysts(152031),       98700,       46.07,       95830
Statisticians(152041),       31370,       47.81,       99450
Data Scientists(152051),      105980,       52.24,      108660
"Mathematical Science Occupations, All Other(152099)",        3970,       37.48,       77960
Architecture and Engineering Occupations(170000),     2436520,       44.10,       91740
"Architects, Surveyors, and Cartographers(171000)",      176840,       39.85,       82880
"Architects, Except Naval(171010)",      117830,       42.98,       89400
"Architects, Except Landscape and Naval(171011)",      100400,       44.19,       91900
Landscape Architects(171012),       17430,       36.05,       74980
"Surveyors, Cartographers, and Photogrammetrists(171020)",       59000,       33.59,       69870
Cartographers and Photogrammetrists(171021),       12610,       35.34,       73510
Surveyors(171022),       46390,       33.12,       68880
Engineers(172000),     1631080,       50.00,      104000
Aerospace Engineers(172011),       56640,       59.12,      122970
Agricultural Engineers(172021),        1120,       41.99,       87350
Bioengineers and Biomedical Engineers(172031),       17190,       48.57,      101020
Chemical Engineers(172041),       24180,       58.58,      121840
Civil Engineers(172051),      304310,       45.91,       95490
Computer Hardware Engineers(172061),       73750,       65.50,      136230
Electrical and Electronics Engineers(172070),      293190,       53.21,      110670
Electrical Engineers(172071),      186020,       51.87,      107890
"Electronics Engineers, Except Computer(172072)",      107170,       55.53,      115490
Environmental Engineers(172081),       42660,       48.18,      100220
"Industrial Engineers, Including Health and Safety(172110)",      316820,       45.92,       95520
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors(172111)",       22870,       47.93,       99700
Industrial Engineers(172112),      293950,       45.77,       95200
Marine Engineers and Naval Architects(172121),        7380,       47.03,       97820
Materials Engineers(172131),       21530,       49.02,      101950
Mechanical Engineers(172141),      278240,       46.64,       97000
"Mining and Geological Engineers, Including Mining Safety Engineers(172151)",        7370,       48.29,      100450
Nuclear Engineers(172161),       12670,       58.54,      121760
Petroleum Engineers(172171),       22100,       70.06,      145720
"Engineers, All Other(172199)",      151940,       51.83,      107800
"Drafters, Engineering Technicians, and Mapping Technicians(173000)",      628600,       30.01,       62420
Drafters(173010),      185200,       29.66,       61680
Architectural and Civil Drafters(173011),      101310,       29.14,       60620
Electrical and Electronics Drafters(173012),       20830,       32.26,       67090
Mechanical Drafters(173013),       47760,       30.12,       62650
"Drafters, All Other(173019)",       15300,       28.04,       58330
"Engineering Technologists and Technicians, Except Drafters(173020)",      387330,       31.06,       64600
Aerospace Engineering and Operations Technologists and Technicians(173021),       10900,       35.34,       73510
Civil Engineering Technologists and Technicians(173022),       64170,       27.89,       58000
Electrical and Electronic Engineering Technologists and Technicians(173023),      101450,       33.21,       69070
Electro-Mechanical and Mechatronics Technologists and Technicians(173024),       11590,       30.71,       63880
Environmental Engineering Technologists and Technicians(173025),       14910,       27.21,       56590
Industrial Engineering Technologists and Technicians(173026),       62030,       29.44,       61230
Mechanical Engineering Technologists and Technicians(173027),       40180,       30.47,       63390
Calibration Technologists and Technicians(173028),        8500,       30.19,       62800
"Engineering Technologists and Technicians, Except Drafters, All Other(173029)",       73600,       32.83,       68290
Surveying and Mapping Technicians(173031),       56070,       23.95,       49810
"Life, Physical, and Social Science Occupations(190000)",     1273640,       38.81,       80730
Life Scientists(191000),      304980,       44.80,       93190
Agricultural and Food Scientists(191010),       31920,       38.45,       79970
Animal Scientists(191011),        2790,       38.65,       80390
Food Scientists and Technologists(191012),       13510,       40.46,       84150
Soil and Plant Scientists(191013),       15610,       36.68,       76290
Biological Scientists(191020),      117460,       45.18,       93970
Biochemists and Biophysicists(191021),       35050,       54.55,      113460
Microbiologists(191022),       19430,       42.22,       87820
Zoologists and Wildlife Biologists(191023),       15930,       33.80,       70300
"Biological Scientists, All Other(191029)",       47050,       43.27,       90010
Conservation Scientists and Foresters(191030),       32040,       32.73,       68080
Conservation Scientists(191031),       22550,       32.81,       68230
Foresters(191032),        9500,       32.56,       67710
Medical Scientists(191040),      116740,       49.44,      102830
Epidemiologists(191041),        8180,       41.70,       86740
"Medical Scientists, Except Epidemiologists(191042)",      108550,       50.02,      104050
"Life Scientists, All Other(191099)",        6820,       45.40,       94430
Physical Scientists(192000),      244340,       46.32,       96340
Astronomers and Physicists(192010),       21950,       72.36,      150510
Astronomers(192011),        1930,       67.02,      139410
Physicists(192012),       20020,       72.88,      151580
Atmospheric and Space Scientists(192021),        8520,       46.58,       96880
Chemists and Materials Scientists(192030),       87290,       43.43,       90330
Chemists(192031),       80600,       42.85,       89130
Materials Scientists(192032),        6690,       50.38,      104790
Environmental Scientists and Geoscientists(192040),      106910,       41.82,       86980
"Environmental Scientists and Specialists, Including Health(192041)",       76890,       39.06,       81240
"Geoscientists, Except Hydrologists and Geographers(192042)",       23620,       49.78,      103550
Hydrologists(192043),        6390,       45.57,       94780
"Physical Scientists, All Other(192099)",       19680,       54.43,      113220
Social Scientists and Related Workers(193000),      246680,       43.66,       90810
Economists(193011),       15640,       58.09,      120830
Survey Researchers(193022),        8850,       31.10,       64690
Psychologists(193030),      129620,       44.28,       92100
Industrial-Organizational Psychologists(193032),         610,       54.48,      113320
Clinical and Counseling Psychologists(193033),       58100,       47.90,       99640
School Psychologists(193034),       57110,       39.80,       82770
"Psychologists, All Other(193039)",       13800,       47.12,       98010
Sociologists(193041),        2640,       46.28,       96260
Urban and Regional Planners(193051),       38940,       39.09,       81310
Miscellaneous Social Scientists and Related Workers(193090),       50990,       43.19,       89840
Anthropologists and Archeologists(193091),        6650,       32.12,       66800
Geographers(193092),        1440,       41.70,       86740
Historians(193093),        2910,       34.68,       72130
Political Scientists(193094),        5650,       57.90,      120430
"Social Scientists and Related Workers, All Other(193099)",       34330,       43.70,       90900
"Life, Physical, and Social Science Technicians(194000)",      349540,       25.91,       53890
Agricultural and Food Science Technicians(194010),       25090,       22.23,       46240
Agricultural Technicians(194012),       13560,       21.56,       44850
Food Science Technicians(194013),       11530,       23.01,       47870
Biological Technicians(194021),       76150,       24.89,       51770
Chemical Technicians(194031),       57690,       26.46,       55040
Environmental Science and Geoscience Technicians(194040),       46860,       25.88,       53830
"Environmental Science and Protection Technicians, Including Health(194042)",       34110,       24.30,       50550
"Geological Technicians, Except Hydrologic Technicians(194043)",        9210,       28.40,       59080
Hydrologic Technicians(194044),        3550,       34.50,       71760
Nuclear Technicians(194051),        5360,       45.77,       95200
Social Science Research Assistants(194061),       28690,       27.13,       56430
Forest and Conservation Technicians(194071),       30440,       20.87,       43420
"Miscellaneous Life, Physical, and Social Science Technicians(194090)",       79250,       27.83,       57880
Forensic Science Technicians(194092),       17020,       32.14,       66850
"Life, Physical, and Social Science Technicians, All Other(194099)",       62230,       26.65,       55420
Occupational Health and Safety Specialists and Technicians(195010),      128090,       36.13,       75150
Occupational Health and Safety Specialists(195011),      106340,       37.86,       78740
Occupational Health and Safety Technicians(195012),       21750,       27.67,       57560
Community and Social Service Occupations(210000),     2239680,       25.94,       53960
"Counselors, Social Workers, and Other Community and Social Service Specialists(211000)",     2157410,       25.94,       53950
Counselors(211010),      781830,       27.12,       56410
"Educational, Guidance, and Career Counselors and Advisors(211012)",      296370,       30.33,       63090
Marriage and Family Therapists(211013),       54800,       28.69,       59660
Rehabilitation Counselors(211015),       90310,       21.51,       44740
"Substance abuse, behavioral disorder, and mental health counselors(211018)",      310880,       25.72,       53490
"Counselors, All Other(211019)",       29480,       23.91,       49730
Social Workers(211020),      677440,       27.83,       57880
"Child, Family, and School Social Workers(211021)",      340050,       26.39,       54880
Healthcare Social Workers(211022),      173860,       29.96,       62310
Mental Health and Substance Abuse Social Workers(211023),      113810,       27.79,       57800
"Social Workers, All Other(211029)",       49730,       30.29,       63010
Miscellaneous Community and Social Service Specialists(211090),      698130,       22.78,       47380
Health Education Specialists(211091),       55830,       31.22,       64930
Probation Officers and Correctional Treatment Specialists(211092),       92140,       30.43,       63290
Social and Human Service Assistants(211093),      398380,       19.45,       40460
Community Health Workers(211094),       61010,       22.97,       47780
"Community and Social Service Specialists, All Other(211099)",       90770,       24.28,       50510
Religious Workers(212000),       82280,       26.13,       54340
Clergy(212011),       50790,       27.51,       57230
"Directors, Religious Activities and Education(212021)",       21000,       25.42,       52880
"Religious Workers, All Other(212099)",       10490,       20.81,       43290
Legal Occupations(230000),     1178140,       54.38,      113100
"Lawyers, Judges, and Related Workers(231000)",      744760,       69.46,      144470
Lawyers and Judicial Law Clerks(231010),      695810,       70.30,      146220
Lawyers(231011),      681010,       71.17,      148030
Judicial Law Clerks(231012),       14800,       30.16,       62730
"Judges, Magistrates, and Other Judicial Workers(231020)",       48950,       57.54,      119690
"Administrative Law Judges, Adjudicators, and Hearing Officers(231021)",       13840,       50.08,      104160
"Arbitrators, Mediators, and Conciliators(231022)",        7320,       29.98,       62350
"Judges, Magistrate Judges, and Magistrates(231023)",       27790,       68.52,      142520
Legal Support Workers(232000),      433380,       28.46,       59190
Paralegals and Legal Assistants(232011),      336250,       28.04,       58330
Miscellaneous Legal Support Workers(232090),       97130,       29.89,       62170
"Title Examiners, Abstractors, and Searchers(232093)",       51040,       25.19,       52390
"Legal Support Workers, All Other(232099)",       46090,       35.10,       73000
Educational Instruction and Library Occupations(250000),     8191930,       29.88,       62140
Postsecondary Teachers(251000),     1340560,           -,       95200
"Business Teachers, Postsecondary(251011)",       79640,           -,      105720
"Math and Computer Science Teachers, Postsecondary(251020)",       81740,           -,       88730
"Computer Science Teachers, Postsecondary(251021)",       37600,           -,       89610
"Mathematical Science Teachers, Postsecondary(251022)",       44140,           -,       87980
"Engineering and Architecture Teachers, Postsecondary(251030)",       41380,           -,      113150
"Architecture Teachers, Postsecondary(251031)",        5950,           -,       98600
"Engineering Teachers, Postsecondary(251032)",       35440,           -,      115590
"Life Sciences Teachers, Postsecondary(251040)",       57440,           -,       98430
"Agricultural Sciences Teachers, Postsecondary(251041)",        8570,           -,       97520
"Biological Science Teachers, Postsecondary(251042)",       47690,           -,       98710
"Forestry and Conservation Science Teachers, Postsecondary(251043)",        1180,           -,       93510
"Physical Sciences Teachers, Postsecondary(251050)",       48420,           -,       97110
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary(251051)",       10250,           -,      102840
"Chemistry Teachers, Postsecondary(251052)",       20260,           -,       94060
"Environmental Science Teachers, Postsecondary(251053)",        5440,           -,       92210
"Physics Teachers, Postsecondary(251054)",       12460,           -,       99480
"Social Sciences Teachers, Postsecondary(251060)",      108100,           -,       94340
"Anthropology and Archeology Teachers, Postsecondary(251061)",        5010,           -,      102110
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary(251062)",        9040,           -,       91680
"Economics Teachers, Postsecondary(251063)",       11790,           -,      124090
"Geography Teachers, Postsecondary(251064)",        3440,           -,       88150
"Political Science Teachers, Postsecondary(251065)",       14060,           -,       98980
"Psychology Teachers, Postsecondary(251066)",       36060,           -,       88390
"Sociology Teachers, Postsecondary(251067)",       12550,           -,       87850
"Social Sciences Teachers, Postsecondary, All Other(251069)",       16140,           -,       87320
"Health Teachers, Postsecondary(251070)",      259890,           -,      119880
"Health Specialties Teachers, Postsecondary(251071)",      191830,           -,      133310
"Nursing Instructors and Teachers, Postsecondary(251072)",       68060,           -,       82040
"Education and Library Science Teachers, Postsecondary(251080)",       63100,           -,       77260
"Education Teachers, Postsecondary(251081)",       58780,           -,       76990
"Library Science Teachers, Postsecondary(251082)",        4330,           -,       80850
"Law, Criminal Justice, and Social Work Teachers, Postsecondary(251110)",       40170,           -,       97720
"Criminal Justice and Law Enforcement Teachers, Postsecondary(251111)",       13790,           -,       81730
"Law Teachers, Postsecondary(251112)",       14110,           -,      130820
"Social Work Teachers, Postsecondary(251113)",       12280,           -,       77650
"Arts, Communications, History, and Humanities Teachers, Postsecondary(251120)",      239610,           -,       85110
"Art, Drama, and Music Teachers, Postsecondary(251121)",       94720,           -,       86240
"Communications Teachers, Postsecondary(251122)",       27330,           -,       84580
"English Language and Literature Teachers, Postsecondary(251123)",       58480,           -,       82680
"Foreign Language and Literature Teachers, Postsecondary(251124)",       19640,           -,       82990
"History Teachers, Postsecondary(251125)",       18590,           -,       86460
"Philosophy and Religion Teachers, Postsecondary(251126)",       20850,           -,       88260
Miscellaneous Postsecondary Teachers(251190),      321050,           -,       82100
"Family and Consumer Sciences Teachers, Postsecondary(251192)",        2730,           -,       93230
"Recreation and Fitness Studies Teachers, Postsecondary(251193)",       13860,           -,       79080
"Career/Technical Education Teachers, Postsecondary(251194)",      105440,       30.35,       63130
"Postsecondary Teachers, All Other(251199)",      199020,           -,       92200
"Preschool, Elementary, Middle, Secondary, and Special Education Teachers(252000)",     4021070,           -,       64870
Preschool and Kindergarten Teachers(252010),      512400,       20.70,       43060
"Preschool Teachers, Except Special Education(252011)",      391670,       17.53,       36460
"Kindergarten Teachers, Except Special Education(252012)",      120730,           -,       64490
Elementary and Middle School Teachers(252020),     1933120,           -,       67030
"Elementary School Teachers, Except Special Education(252021)",     1329280,           -,       67080
"Middle School Teachers, Except Special and Career/Technical Education(252022)",      592000,           -,       66880
"Career/Technical Education Teachers, Middle School(252023)",       11840,           -,       69410
Secondary School Teachers(252030),     1104600,           -,       69490
"Secondary School Teachers, Except Special and Career/Technical Education(252031)",     1020240,           -,       69530
"Career/Technical Education Teachers, Secondary School(252032)",       84360,           -,       68960
Special Education Teachers(252050),      470960,           -,       68880
"Special Education Teachers, Preschool(252051)",       21130,           -,       71970
"Special Education Teachers, Kindergarten and Elementary School(252052)",      187070,           -,       67090
"Special Education Teachers, Middle School(252057)",       79070,           -,       68860
"Special Education Teachers, Secondary School(252058)",      145690,           -,       70100
"Special Education Teachers, All Other(252059)",       38000,           -,       71330
Other Teachers and Instructors(253000),      941530,       22.35,       46490
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors(253011)",       38260,       29.16,       60650
Self-Enrichment Teachers(253021),      216910,       23.67,       49230
"Substitute Teachers, Short-Term(253031)",      374620,       18.47,       38410
Tutors(253041),      147100,       20.09,       41780
"Teachers and Instructors, All Other(253099)",      164650,           -,       62200
"Librarians, Curators, and Archivists(254000)",      228900,       26.69,       55520
"Archivists, Curators, and Museum Technicians(254010)",       28110,       28.28,       58830
Archivists(254011),        6120,       29.75,       61880
Curators(254012),       11030,       30.71,       63880
Museum Technicians and Conservators(254013),       10960,       25.02,       52030
Librarians and Media Collections Specialists(254022),      127790,       30.86,       64180
Library Technicians(254031),       73000,       18.79,       39070
Other Educational Instruction and Library Occupations(259000),     1659870,           -,       38620
Farm and Home Management Educators(259021),       10620,       27.90,       58040
Instructional Coordinators(259031),      184740,       33.92,       70560
Teaching Assistants(259040),     1308560,           -,       32640
"Teaching Assistants, Postsecondary(259044)",      121290,           -,       41170
"Teaching Assistants, Except Postsecondary(259045)",     1187270,           -,       31760
"Educational Instruction and Library Workers, All Other(259099)",      155950,       23.87,       49650
"Arts, Design, Entertainment, Sports, and Media Occupations(270000)",     1815290,       31.78,       66100
Art and Design Workers(271000),      609150,       28.32,       58910
Artists and Related Workers(271010),       83070,       45.83,       95330
Art Directors(271011),       42080,       55.50,      115430
Craft Artists(271012),        3740,       19.58,       40730
"Fine Artists, Including Painters, Sculptors, and Illustrators(271013)",        9430,       33.18,       69010
Special Effects Artists and Animators(271014),       20430,       41.45,       86220
"Artists and Related Workers, All Other(271019)",        7390,       32.33,       67240
Designers(271020),      526080,       25.56,       53160
Commercial and Industrial Designers(271021),       27940,       38.31,       79680
Fashion Designers(271022),       19310,       40.22,       83650
Floral Designers(271023),       36000,       15.43,       32100
Graphic Designers(271024),      204040,       28.83,       59970
Interior Designers(271025),       61970,       30.08,       62570
Merchandise Displayers and Window Trimmers(271026),      159790,       17.08,       35520
Set and Exhibit Designers(271027),        6850,       30.27,       62960
"Designers, All Other(271029)",       10190,       35.33,       73480
"Entertainers and Performers, Sports and Related Workers(272000)",      438600,       34.55,       71870
"Actors, Producers, and Directors(272010)",      168350,       45.85,       95360
Actors(272011),       30100,       31.31,           -
Producers and Directors(272012),      138250,       49.01,      101950
"Athletes, Coaches, Umpires, and Related Workers(272020)",      215690,           -,       54390
Athletes and Sports Competitors(272021),       12320,           -,      116930
Coaches and Scouts(272022),      193740,           -,       50550
"Umpires, Referees, and Other Sports Officials(272023)",        9620,           -,       51710
Dancers and Choreographers(272030),        7850,       24.17,       50280
Dancers(272031),        3850,       24.49,           -
Choreographers(272032),        3990,       23.86,       49630
"Musicians, Singers, and Related Workers(272040)",       33640,       38.57,           -
Music Directors and Composers(272041),        9560,       31.29,       65080
Musicians and Singers(272042),       24080,       41.46,           -
"Miscellaneous Entertainers and Performers, Sports and Related Workers(272090)",       13070,       23.60,           -
"Disc Jockeys, Except Radio(272091)",        4770,       21.82,           -
"Entertainers and Performers, Sports and Related Workers, All Other(272099)",        8300,       24.62,           -
Media and Communication Workers(273000),      573200,       34.50,       71760
Broadcast Announcers and Radio Disc Jockeys(273011),       24580,       26.97,       56110
"News Analysts, Reporters, and Journalists(273023)",       39080,       30.40,       63230
Public Relations Specialists(273031),      242710,       35.22,       73250
Writers and Editors(273040),      185810,       37.96,       78950
Editors(273041),       88780,       36.73,       76400
Technical Writers(273042),       47620,       39.17,       81470
Writers and Authors(273043),       49410,       39.00,       81120
Miscellaneous Media and Communication Workers(273090),       81010,       28.68,       59650
Interpreters and Translators(273091),       52170,       28.08,       58400
Court Reporters and Simultaneous Captioners(273092),       12300,       31.36,       65240
"Media and Communication Workers, All Other(273099)",       16540,       28.56,       59400
Media and Communication Equipment Workers(274000),      194350,       28.35,       58970
"Broadcast, Sound, and Lighting Technicians(274010)",       90940,       26.80,       55750
Audio and Video Technicians(274011),       50590,       26.59,       55310
Broadcast Technicians(274012),       25270,       24.66,       51280
Sound Engineering Technicians(274014),       10800,       32.38,       67360
Lighting Technicians(274015),        4280,       27.89,       58020
Photographers(274021),       38420,       23.18,       48210
"Television, Video, and Film Camera Operators and Editors(274030)",       48320,       33.66,       70020
"Camera Operators, Television, Video, and Film(274031)",       20280,       29.69,       61740
Film and Video Editors(274032),       28030,       36.54,       76000
"Media and Communication Equipment Workers, All Other(274099)",       16670,       33.31,       69290
Healthcare Practitioners and Technical Occupations(290000),     8787730,       43.80,       91100
Healthcare Diagnosing or Treating Practitioners(291000),     5772460,       53.92,      112160
Chiropractors(291011),       35810,       39.06,       81240
Dentists(291020),      124680,       85.47,      177770
"Dentists, General(291021)",      108680,       80.37,      167160
Oral and Maxillofacial Surgeons(291022),        5330,      149.74,      311460
Orthodontists(291023),        5140,      128.50,      267280
Prosthodontists(291024),         790,       69.10,      143730
"Dentists, All Other Specialists(291029)",        4750,       86.25,      179400
Dietitians and Nutritionists(291031),       66690,       31.55,       65620
Optometrists(291041),       38720,       60.31,      125440
Pharmacists(291051),      312550,       60.43,      125690
Physician Assistants(291071),      132940,       57.43,      119460
Podiatrists(291081),        8840,       76.15,      158380
Therapists(291120),      687440,       40.42,       84080
Occupational Therapists(291122),      127830,       43.02,       89470
Physical Therapists(291123),      225350,       44.67,       92920
Radiation Therapists(291124),       16050,       45.19,       94000
Recreational Therapists(291125),       16980,       25.91,       53900
Respiratory Therapists(291126),      133410,       32.78,       68190
Speech-Language Pathologists(291127),      147470,       41.26,       85820
Exercise Physiologists(291128),        6860,       25.98,       54030
"Therapists, All Other(291129)",       13490,       31.26,       65030
Veterinarians(291131),       77260,       52.84,      109920
Registered Nurses(291141),     3047530,       39.78,       82750
Nurse Anesthetists(291151),       43950,       97.34,      202470
Nurse Midwives(291161),        7750,       54.91,      114210
Nurse Practitioners(291171),      234690,       56.75,      118040
Audiologists(291181),       13240,       41.37,       86050
Physicians(291210),      641380,      121.38,      252480
Anesthesiologists(291211),       31130,      159.22,      331190
Cardiologists(291212),       18610,      170.18,      353970
Dermatologists(291213),        9230,      145.55,      302740
Emergency Medicine Physicians(291214),       36180,      149.35,      310640
Family Medicine Physicians(291215),      102930,      113.43,      235930
General Internal Medicine Physicians(291216),       58260,      116.44,      242190
Neurologists(291217),        7120,      128.68,      267660
Obstetricians and Gynecologists(291218),       21570,      142.41,      296210
"Pediatricians, General(291221)",       33620,       95.40,      198420
"Physicians, Pathologists(291222)",       11010,      128.45,      267180
Psychiatrists(291223),       25520,      120.08,      249760
Radiologists(291224),       29530,      145.06,      301720
"Physicians, All Other(291229)",      256670,      111.30,      231500
Surgeons(291240),       58280,      141.60,      294520
"Ophthalmologists, Except Pediatric(291241)",       11610,      129.85,      270090
"Orthopedic Surgeons, Except Pediatric(291242)",       16260,      147.22,      306220
Pediatric Surgeons(291243),         820,      139.57,      290310
"Surgeons, All Other(291249)",       29590,      143.17,      297800
Miscellaneous Healthcare Diagnosing or Treating Practitioners(291290),      240690,       40.65,       84550
Acupuncturists(291291),        7250,       34.51,       71770
Dental Hygienists(291292),      207190,       39.12,       81360
"Healthcare Diagnosing or Treating Practitioners, All Other(291299)",       26250,       54.44,      113230
Health Technologists and Technicians(292000),     2887210,       24.18,       50300
Clinical Laboratory Technologists and Technicians(292010),      318780,       27.36,       56910
Diagnostic Related Technologists and Technicians(292030),      408390,       34.03,       70780
Cardiovascular Technologists and Technicians(292031),       55760,       29.82,       62020
Diagnostic Medical Sonographers(292032),       78640,       38.79,       80680
Nuclear Medicine Technologists(292033),       17140,       40.79,       84850
Radiologic Technologists and Technicians(292034),      216380,       31.97,       66490
